                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7251,                 2.3328,                 1.8065,                0.17471,                0.30223,                0.15263,                 0.0862,                 1.9973,                 2.5887,                 2.0362,               0.008548,               0.008548,               0.008548
                     46,                 1.6342,                 2.0744,                 1.7359,                0.17471,                0.30223,                0.15263,                 0.0862,                 1.9973,                 2.5887,                 2.0362,               0.008515,               0.008515,               0.008515
                     47,                 1.5525,                 2.1312,                 1.6708,                0.17471,                0.30223,                0.15263,                 0.0862,                 1.9973,                 2.5887,                 2.0362,               0.008482,               0.008482,               0.008482
                     48,                 1.7193,                 2.2361,                 1.8014,                0.17471,                0.30223,                0.15263,                 0.0862,                 1.9973,                 2.5887,                 2.0362,               0.008449,               0.008449,               0.008449
                     49,                 1.7372,                 2.2383,                 1.7783,                0.13495,                0.36678,                0.09732,                0.03976,                 2.0772,                 2.6424,                  2.135,               0.008416,               0.008416,               0.008416
                     50,                 1.6718,                 2.2948,                 1.7536,                0.13495,                0.36678,                0.09732,                0.03976,                 2.0772,                 2.6424,                  2.135,               0.008383,               0.008383,               0.008383
                     51,                 1.7388,                 2.2781,                   1.78,                0.13495,                0.36678,                0.09732,                0.03976,                 2.0772,                 2.6424,                  2.135,                0.00835,                0.00835,                0.00835
                     52,                 1.8132,                 2.3909,                 1.8623,                0.11757,                0.28499,                0.11598,                 0.0555,                 1.9946,                 2.5945,                 2.0782,               0.008317,               0.008317,               0.008317
                     53,                  1.686,                 2.2353,                 1.7624,                0.11757,                0.28499,                0.11598,                 0.0555,                 1.9946,                 2.5945,                 2.0782,               0.008284,               0.008284,               0.008284
                     54,                 1.6637,                 2.2664,                 1.7717,                0.11757,                0.28499,                0.11598,                 0.0555,                 1.9946,                 2.5945,                 2.0782,               0.008251,               0.008251,               0.008251
                     55,                 1.6885,                 2.3289,                 1.7769,                0.19991,                0.29006,                  0.142,                0.07234,                 2.0019,                 2.6004,                 2.0958,               0.008218,               0.008218,               0.008218
                     56,                 1.5378,                 2.2138,                 1.6552,                0.19991,                0.29006,                  0.142,                0.07234,                 2.0019,                 2.6004,                 2.0958,               0.008185,               0.008185,               0.008185
                     57,                 1.6298,                 2.4905,                 1.7621,                0.19991,                0.29006,                  0.142,                0.07234,                 2.0019,                 2.6004,                 2.0958,               0.008152,               0.008152,               0.008152
                     58,                 1.5412,                 2.3896,                 1.6664,                 0.3521,                0.29006,                0.18774,                0.09577,                 1.9218,                 2.3802,                 2.0231,               0.008119,               0.008119,               0.008119
                     59,                 1.6492,                 2.3086,                 1.6623,                 0.3521,                0.29006,                0.18774,                0.09577,                 1.9218,                 2.3802,                 2.0231,               0.008086,               0.008086,               0.008086
                     60,                 1.6264,                 2.2685,                 1.6638,                 0.3521,                0.29006,                0.18774,                0.09577,                 1.9218,                 2.3802,                 2.0231,               0.008053,               0.008053,               0.008053
