                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.4112,                 2.0532,                 1.5245,                0.30035,                0.30223,                0.19932,                0.08699,                 1.8457,                 2.5365,                  1.989,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4169,                 1.9754,                 1.5205,                0.21731,                0.32454,                 0.2063,                 0.0811,                 1.7942,                 2.6385,                 1.9075,               0.007624,               0.007624,               0.007624
                     50,                 1.3904,                 1.9677,                 1.5312,                0.21731,                0.32454,                 0.2063,                 0.0811,                 1.7942,                 2.6385,                 1.9075,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4429,                 1.9747,                 1.5409,                0.21731,                0.32454,                 0.2063,                 0.0811,                 1.7942,                 2.6385,                 1.9075,               0.007525,               0.007525,               0.007525
                     52,                 1.5641,                 2.1628,                 1.6722,                0.19451,                0.29513,                0.18274,                0.07572,                 1.8899,                 2.4534,                 1.9796,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3938,                 2.0217,                 1.5501,                0.19451,                0.29513,                0.18274,                0.07572,                 1.8899,                 2.4534,                 1.9796,               0.007426,               0.007426,               0.007426
                     54,                 1.5126,                 1.9915,                  1.611,                0.19451,                0.29513,                0.18274,                0.07572,                 1.8899,                 2.4534,                 1.9796,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4407,                 2.0622,                 1.6136,                0.27454,                0.22617,                0.19264,                 0.0948,                 1.9052,                 2.4706,                 1.9564,               0.007327,               0.007327,               0.007327
                     56,                 1.2812,                 1.8441,                  1.452,                0.27454,                0.22617,                0.19264,                 0.0948,                 1.9052,                 2.4706,                 1.9564,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4472,                 2.0373,                 1.6326,                0.27454,                0.22617,                0.19264,                 0.0948,                 1.9052,                 2.4706,                 1.9564,               0.007228,               0.007228,               0.007228
                     58,                 1.2724,                 1.9279,                 1.4826,                 0.0318,                0.20892,                0.02682,                0.01216,                 1.9758,                 6.5206,                 2.1059,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3575,                 2.0446,                 1.4987,                 0.0318,                0.20892,                0.02682,                0.01216,                 1.9758,                 6.5206,                 2.1059,               0.007129,               0.007129,               0.007129
                     60,                 1.3381,                 2.0648,                 1.5253,                 0.0318,                0.20892,                0.02682,                0.01216,                 1.9758,                 6.5206,                 2.1059,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2941,                 2.0727,                 1.4799,                0.34364,                0.19168,                 0.2256,                0.09731,                 1.9462,                 2.6787,                 2.1168,                0.00703,                0.00703,                0.00703
                     62,                  1.219,                 1.6833,                 1.4744,                0.34364,                0.19168,                 0.2256,                0.09731,                 1.9462,                 2.6787,                 2.1168,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2727,                 1.6777,                 1.4881,                0.34364,                0.19168,                 0.2256,                0.09731,                 1.9462,                 2.6787,                 2.1168,               0.006931,               0.006931,               0.006931
                     64,                 1.2982,                 1.6941,                 1.4663,                0.34364,                0.19168,                 0.2256,                0.09731,                 1.9462,                 2.6787,                 2.1168,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3909,                 1.7954,                 1.5475,                0.43347,                0.13286,                0.20463,                0.09515,                 1.9137,                  2.661,                 2.1234,               0.006832,               0.006832,               0.006832
                     66,                 1.3477,                 1.7607,                 1.5393,                0.43347,                0.13286,                0.20463,                0.09515,                 1.9137,                  2.661,                 2.1234,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4228,                 1.9987,                 1.5612,                0.43347,                0.13286,                0.20463,                0.09515,                 1.9137,                  2.661,                 2.1234,               0.006733,               0.006733,               0.006733
                     68,                 1.3013,                 1.7889,                 1.4902,                0.21236,                0.29006,                0.18792,                 0.0929,                 1.9714,                 2.7695,                 2.1673,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.2502,                 1.7857,                 1.4513,                0.21236,                0.29006,                0.18792,                 0.0929,                 1.9714,                 2.7695,                 2.1673,               0.006634,               0.006634,               0.006634
                     70,                 1.1382,                 1.5924,                  1.361,                0.21236,                0.29006,                0.18792,                 0.0929,                 1.9714,                 2.7695,                 2.1673,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3487,                  1.782,                 1.5127,                0.17188,                0.29513,                0.17523,                0.08195,                 1.9574,                 2.5533,                 2.0808,               0.006535,               0.006535,               0.006535
                     72,                 1.2959,                 1.7132,                 1.5025,                0.17188,                0.29513,                0.17523,                0.08195,                 1.9574,                 2.5533,                 2.0808,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3069,                 1.7139,                 1.4862,                0.17188,                0.29513,                0.17523,                0.08195,                 1.9574,                 2.5533,                 2.0808,               0.006436,               0.006436,               0.006436
                     74,                 1.3545,                  1.862,                 1.5812,                0.38446,                0.16227,                0.23203,                 0.1199,                 1.9999,                 2.5002,                 2.0932,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2066,                 1.6939,                 1.4486,                0.38446,                0.16227,                0.23203,                 0.1199,                 1.9999,                 2.5002,                 2.0932,               0.006337,               0.006337,               0.006337
                     76,                 1.3182,                 1.7919,                 1.5142,                0.38446,                0.16227,                0.23203,                 0.1199,                 1.9999,                 2.5002,                 2.0932,              0.0062875,              0.0062875,              0.0062875
                     77,                   1.34,                 1.5642,                 1.4259,                0.36207,                0.25558,                0.27164,                0.13317,                 1.9797,                   2.45,                 2.0899,               0.006238,               0.006238,               0.006238
                     78,                 1.2367,                 1.6065,                 1.4204,                0.36207,                0.25558,                0.27164,                0.13317,                 1.9797,                   2.45,                 2.0899,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2801,                 1.5444,                 1.4346,                0.36207,                0.25558,                0.27164,                0.13317,                 1.9797,                   2.45,                 2.0899,               0.006139,               0.006139,               0.006139
                     80,                 1.2546,                 1.5458,                 1.4698,                0.36207,                0.25558,                0.27164,                0.13317,                 1.9797,                   2.45,                 2.0899,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2558,                 1.5197,                  1.442,                0.24195,                0.40542,                0.24042,                 0.1178,                 2.0966,                 2.4929,                 2.1537,                0.00604,                0.00604,                0.00604
                     82,                 1.1348,                 1.5892,                 1.3612,                0.24195,                0.40542,                0.24042,                 0.1178,                 2.0966,                 2.4929,                 2.1537,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3123,                 1.5429,                 1.4477,                0.24195,                0.40542,                0.24042,                 0.1178,                 2.0966,                 2.4929,                 2.1537,               0.005941,               0.005941,               0.005941
                     84,                 1.2377,                 1.5411,                 1.3844,                0.24999,                0.29716,                0.24187,                0.11814,                 2.0083,                 2.5596,                 2.1132,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1273,                 1.3802,                  1.333,                0.24999,                0.29716,                0.24187,                0.11814,                 2.0083,                 2.5596,                 2.1132,               0.005842,               0.005842,               0.005842
                     86,                   1.32,                 1.4871,                  1.426,                0.24999,                0.29716,                0.24187,                0.11814,                 2.0083,                 2.5596,                 2.1132,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1891,                 1.4932,                  1.373,                0.38772,                0.30223,                0.27264,                 0.1409,                 2.0871,                 2.4447,                 2.2022,               0.005743,               0.005743,               0.005743
                     88,                 1.1748,                 1.4713,                 1.3661,                0.38772,                0.30223,                0.27264,                 0.1409,                 2.0871,                 2.4447,                 2.2022,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2144,                 1.3138,                 1.3682,                0.38772,                0.30223,                0.27264,                 0.1409,                 2.0871,                 2.4447,                 2.2022,               0.005644,               0.005644,               0.005644
                     90,                 1.2489,                 1.5471,                 1.4857,                0.23673,                0.25558,                0.24532,                0.11065,                 2.1244,                 2.4738,                 2.2352,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1853,                 1.4753,                 1.3952,                0.23673,                0.25558,                0.24532,                0.11065,                 2.1244,                 2.4738,                 2.2352,               0.005545,               0.005545,               0.005545
                     92,                  1.208,                 1.4133,                 1.3492,                0.23673,                0.25558,                0.24532,                0.11065,                 2.1244,                 2.4738,                 2.2352,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3517,                 1.6534,                 1.5412,                0.45299,                0.16227,                0.20455,                0.10246,                 2.1206,                 2.4525,                 2.2296,               0.005446,               0.005446,               0.005446
                     94,                 1.1577,                 1.4899,                 1.3748,                0.45299,                0.16227,                0.20455,                0.10246,                 2.1206,                 2.4525,                 2.2296,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1893,                 1.5323,                  1.425,                0.45299,                0.16227,                0.20455,                0.10246,                 2.1206,                 2.4525,                 2.2296,               0.005347,               0.005347,               0.005347
                     96,                 1.1597,                 1.4689,                  1.343,                0.45299,                0.16227,                0.20455,                0.10246,                 2.1206,                 2.4525,                 2.2296,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0453,                 1.2368,                 1.2814,                 0.3908,                0.16227,                0.22277,                0.11124,                  2.142,                 2.4713,                 2.2242,               0.005248,               0.005248,               0.005248
                     98,                 1.1592,                 1.3275,                 1.3962,                 0.3908,                0.16227,                0.22277,                0.11124,                  2.142,                 2.4713,                 2.2242,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.1421,                 1.3562,                 1.3316,                 0.3908,                0.16227,                0.22277,                0.11124,                  2.142,                 2.4713,                 2.2242,               0.005149,               0.005149,               0.005149
                    100,                 1.2353,                  1.482,                 1.4168,                0.58204,                0.16227,                0.21974,                 0.1007,                 2.1369,                 2.4187,                 2.1895,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1266,                 1.6396,                 1.3564,                0.58204,                0.16227,                0.21974,                 0.1007,                 2.1369,                 2.4187,                 2.1895,                0.00505,                0.00505,                0.00505
                    102,                 1.1017,                 1.2345,                 1.3331,                0.58204,                0.16227,                0.21974,                 0.1007,                 2.1369,                 2.4187,                 2.1895,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.194,                   1.26,                 1.3447,                 0.3126,                 0.2211,                0.25151,                0.11768,                 2.0443,                  2.355,                 2.1218,               0.004951,               0.004951,               0.004951
                    104,                 1.1734,                 1.2279,                 1.3441,                 0.3126,                 0.2211,                0.25151,                0.11768,                 2.0443,                  2.355,                 2.1218,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.2464,                   1.33,                 1.3923,                 0.3126,                 0.2211,                0.25151,                0.11768,                 2.0443,                  2.355,                 2.1218,               0.004852,               0.004852,               0.004852
                    106,                 1.0236,                 1.2361,                 1.2795,                 0.2566,                0.20892,                0.24698,                0.12352,                 1.9957,                 2.3444,                  2.095,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1558,                 1.2597,                 1.3372,                 0.2566,                0.20892,                0.24698,                0.12352,                 1.9957,                 2.3444,                  2.095,               0.004753,               0.004753,               0.004753
                    108,                 1.1128,                 1.2997,                 1.2828,                 0.2566,                0.20892,                0.24698,                0.12352,                 1.9957,                 2.3444,                  2.095,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.0817,                   1.26,                 1.3232,                0.26246,                0.28499,                0.24956,                0.13184,                 1.9889,                 2.3904,                 2.1601,               0.004654,               0.004654,               0.004654
                    110,                 1.0564,                 1.2039,                  1.297,                0.26246,                0.28499,                0.24956,                0.13184,                 1.9889,                 2.3904,                 2.1601,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1623,                 1.3452,                 1.3726,                0.26246,                0.28499,                0.24956,                0.13184,                 1.9889,                 2.3904,                 2.1601,               0.004555,               0.004555,               0.004555
                    112,                 1.1765,                  1.428,                 1.4159,                0.26246,                0.28499,                0.24956,                0.13184,                 1.9889,                 2.3904,                 2.1601,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0744,                 1.2817,                 1.2603,                0.33622,                0.31556,                0.27102,                0.15207,                 1.9886,                 2.3062,                 2.1702,               0.004456,               0.004456,               0.004456
                    114,                 1.0276,                 1.0936,                  1.279,                0.33622,                0.31556,                0.27102,                0.15207,                 1.9886,                 2.3062,                 2.1702,              0.0044065,              0.0044065,              0.0044065
                    115,                0.98563,                 1.0132,                  1.208,                0.33622,                0.31556,                0.27102,                0.15207,                 1.9886,                 2.3062,                 2.1702,               0.004357,               0.004357,               0.004357
                    116,                0.98873,                 1.1404,                 1.2756,                0.32159,                0.30632,                0.29941,                0.16361,                 1.9505,                 2.2728,                 2.1559,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1353,                 1.3306,                 1.4146,                0.32159,                0.30632,                0.29941,                0.16361,                 1.9505,                 2.2728,                 2.1559,               0.004258,               0.004258,               0.004258
                    118,                  1.054,                 1.0886,                 1.3149,                0.32159,                0.30632,                0.29941,                0.16361,                 1.9505,                 2.2728,                 2.1559,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0888,                 1.1491,                 1.3216,                0.47875,                0.25558,                0.32145,                0.17214,                  1.946,                 2.1521,                 2.1496,               0.004159,               0.004159,               0.004159
                    120,                 1.0113,                 1.0605,                 1.2579,                0.47875,                0.25558,                0.32145,                0.17214,                  1.946,                 2.1521,                 2.1496,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0231,                 1.1441,                 1.2535,                0.47875,                0.25558,                0.32145,                0.17214,                  1.946,                 2.1521,                 2.1496,                0.00406,                0.00406,                0.00406
