                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.8782,                 2.8501,                 1.8047,                0.08477,                0.20385,                0.07666,                0.02269,                 2.3483,                 3.0008,                 2.2667,               0.008317,               0.008317,               0.008317
                     53,                 1.7152,                  2.666,                  1.642,                0.08477,                0.20385,                0.07666,                0.02269,                 2.3483,                 3.0008,                 2.2667,               0.008284,               0.008284,               0.008284
                     54,                 1.9053,                 2.6151,                 1.7379,                0.17054,                0.18661,                 0.0898,                0.03174,                  2.358,                 3.2795,                 2.2419,               0.008251,               0.008251,               0.008251
                     55,                 1.9187,                 2.6498,                   1.76,                0.17054,                0.18661,                 0.0898,                0.03174,                  2.358,                 3.2795,                 2.2419,               0.008218,               0.008218,               0.008218
                     56,                  1.773,                 2.5887,                  1.713,                0.12656,                0.19245,                0.10446,                0.03428,                 2.3654,                 3.1987,                 2.3566,               0.008185,               0.008185,               0.008185
                     57,                 1.6533,                 2.4698,                 1.7113,                0.12656,                0.19245,                0.10446,                0.03428,                 2.3654,                 3.1987,                 2.3566,               0.008152,               0.008152,               0.008152
                     58,                 1.6851,                 2.5474,                 1.6287,                0.12656,                0.19245,                0.10446,                0.03428,                 2.3654,                 3.1987,                 2.3566,               0.008119,               0.008119,               0.008119
                     59,                 1.7387,                 2.5892,                 1.7303,                0.12421,                0.20385,                0.12843,                0.04229,                 2.2823,                 3.6191,                 2.4006,               0.008086,               0.008086,               0.008086
                     60,                 1.6328,                 2.4072,                 1.6158,                0.12421,                0.20385,                0.12843,                0.04229,                 2.2823,                 3.6191,                 2.4006,               0.008053,               0.008053,               0.008053
                     61,                 1.4794,                 2.4358,                 1.5076,                0.12421,                0.20385,                0.12843,                0.04229,                 2.2823,                 3.6191,                 2.4006,                0.00802,                0.00802,                0.00802
                     62,                 1.6764,                 2.4517,                 1.6912,                0.14857,                0.30223,                 0.1509,                0.04601,                 2.2762,                  3.127,                 2.3712,               0.007987,               0.007987,               0.007987
                     63,                 1.5881,                 2.3762,                 1.5757,                0.14857,                0.30223,                 0.1509,                0.04601,                 2.2762,                  3.127,                 2.3712,               0.007954,               0.007954,               0.007954
                     64,                 1.7959,                 2.5892,                 1.7551,                0.32084,                 0.1572,                0.16059,                0.05816,                 2.2322,                 3.2222,                 2.2822,               0.007921,               0.007921,               0.007921
                     65,                 1.7732,                 2.5187,                 1.6823,                0.32084,                 0.1572,                0.16059,                0.05816,                 2.2322,                 3.2222,                 2.2822,               0.007888,               0.007888,               0.007888
                     66,                 1.7414,                  2.393,                    1.7,                0.32084,                 0.1572,                0.16059,                0.05816,                 2.2322,                 3.2222,                 2.2822,               0.007855,               0.007855,               0.007855
